1 Depth,2 Depth,3 Depth,화면 ID,URL Path,주요 기능 및 설명,접근 권한(Role),모바일 최적화,비고
통합 정산(Folio),정산 목록,,HT-FOL-01,/hotel/folios,"전체 Folio 리스트. 결제상태(open/partial/settled) 필터, 투숙객명·예약번호 검색","admin, manager",❌,
통합 정산(Folio),통합 영수증,,HT-FOL-02,/hotel/folios/:id,Booking 기준 통합 과금 명세. [객실료(VIP할인 적용) + 내부 부가서비스 + 외부 대행 서비스] 항목별 리스트 및 합산 총액(USD/로컬 통화),"admin, manager, staff",✅,하나의 영수증으로 모든 과금 병합
통합 정산(Folio),부가 과금 추가,,HT-FOL-03,/hotel/folios/:id/add-charge,"직원이 현재 투숙 중인 객실에 부가 요금(룸서비스, 미니바, 세탁 등) 수기 추가. 서비스 카탈로그에서 항목 선택 후 수량·금액 입력","admin, manager, staff",✅,1차 핵심 기능. 모바일 터치 최적화
통합 정산(Folio),정산 완료 처리,,HT-FOL-04,/hotel/folios/:id/settle,"최종 결제 처리. 결제수단 선택, 정산 완료 시 VIP 승급 트리거 자동 실행(total_stays/total_spent 갱신 및 등급 재산정)","admin, manager",✅,체크아웃 연동. Room 상태 자동 변경
부가서비스 관리,서비스 카탈로그,,HT-SVC-01,/hotel/services,"내부 부가서비스(룸서비스, 미니바, 세탁, 스파 등) 항목 목록. 카테고리별 분류, 단가(USD) 표시, 활성/비활성 토글",admin,❌,
부가서비스 관리,서비스 등록/수정,,HT-SVC-02,/hotel/services/new,"부가서비스 항목 등록. 카테고리 선택, 영문명/현지어명, USD 단가 입력",admin,❌,
부가서비스 관리,외부 대행 목록,,HT-EXT-01,/hotel/external-services,"골프, 렌터카, 로컬 투어, 픽업 등 외부 제휴 서비스 목록. 제휴업체명, 기본요금, 수수료율 표시","admin, manager",❌,도메인별 독립 관리 (KI 원칙 준수)
부가서비스 관리,외부 대행 등록/수정,,HT-EXT-02,/hotel/external-services/new,"외부 대행 서비스 등록. 유형(골프/렌터카/투어/픽업), 제휴업체, 기본요금(USD), 수수료율(%) 입력",admin,❌,
부가서비스 관리,외부 대행 상세,,HT-EXT-03,/hotel/external-services/:id,"개별 외부 서비스 상세. 예약 접수 이력, 수수료/대행 요금 정산 현황 관리","admin, manager",✅,
하우스키핑,HK 보드,,HT-HK-01,/hotel/housekeeping,전체 객실 상태 보드. 큰 컬러 카드 UI로 청소 전(dirty)/청소 중(cleaning)/완료(clean)/점검(inspected)/수리(out_of_order) 실시간 표시. 터치 한 번으로 상태 변경,"manager, staff",✅,모바일 터치 최적화 핵심 화면. 48px 이상 터치 타겟
하우스키핑,객실 HK 상세,,HT-HK-02,/hotel/housekeeping/:roomId,"개별 객실 하우스키핑 상세. 상태 변경 이력 로그, 메모 입력, 수리 요청 등록",staff,✅,
호텔 설정,기본 설정,,HT-SET-01,/hotel/settings,"호텔 기본 정보(이름, 주소), 로컬 타임존 설정, 기준 통화 및 USD 환율 세팅, 세금률 설정",admin,❌,
호텔 설정,직원 관리,,HT-SET-02,/hotel/settings/staff,"직원 계정 목록. 부서/권한(admin/manager/staff) 설정, 활성/비활성 제어, 마지막 로그인 시간 표시",admin,❌,
호텔 설정,직원 등록,,HT-SET-03,/hotel/settings/staff/new,"신규 직원 계정 생성. 이메일, 이름, 부서 배정, 권한(Role) 부여",admin,❌,범용 Auth API 연동
